chembl_id,canonical_smiles,MolWt,LogP,HDonors,HAcceptors
CHEMBL266484,Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,355.7810000000001,2.42204,1,5
CHEMBL6239,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,265.656,0.7767999999999999,1,5
CHEMBL6240,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,327.7270000000001,1.8051999999999997,1,5
CHEMBL6243,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,335.3630000000001,2.0770599999999995,1,5
CHEMBL6272,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,327.7270000000001,1.8051999999999992,1,5
CHEMBL269496,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,343.7700000000001,1.9643199999999994,2,5
CHEMBL6283,c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,274.412,1.3413,1,4
CHEMBL6284,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,274.4119999999999,1.3412999999999997,1,4
CHEMBL6277,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,288.4390000000001,1.6834999999999996,0,4
CHEMBL268830,CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,288.4390000000001,1.6834999999999996,0,4
CHEMBL6290,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,498.38100000000026,3.353700000000001,1,7
CHEMBL6308,CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,259.265,0.9036,1,5
CHEMBL268150,CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,231.211,0.12339999999999979,1,5
CHEMBL6293,O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,417.8080000000001,3.5008000000000026,1,6
CHEMBL268831,CN1CCC[C@H]1CN1CCN(Cc2ccncc2)CC1,274.4120000000001,1.2933999999999992,0,4
CHEMBL267915,CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1,274.4120000000001,1.2933999999999992,0,4
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.40800000000024,1.7845999999999997,1,8
CHEMBL6306,COC(=O)/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,427.46100000000024,1.1631999999999996,1,9
CHEMBL415103,COc1cc2nc(N3CCN(C(=O)C4OC4c4ccccc4)CC3)nc(N)c2cc1OC,435.48400000000026,2.017899999999999,1,8
CHEMBL6321,COc1cc2nc(N3CCN(C(=O)/C=C/C(=O)c4ccccc4)CC3)nc(N)c2cc1OC,447.49500000000023,2.3169000000000004,1,8
CHEMBL6323,COc1cc2nc(N3CCN(C(=O)c4ccc5ccccc5c4)CC3)nc(N)c2cc1OC,443.5070000000003,3.344800000000001,1,7
CHEMBL6313,COc1cc2nc(N3CCN(/C(S)=N/c4ccc(N=[N+]=[N-])cc4)CC3)nc(N)c2cc1OC,465.5430000000003,3.9105000000000025,2,8
CHEMBL266081,COc1cc2nc(N3CCN(C(=O)c4cccc(CCl)c4)CC3)nc(N)c2cc1OC,441.91900000000027,2.9304000000000006,1,7
CHEMBL6314,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(N=C=S)cc4)CC3)nc(N)c2cc1OC,476.5620000000003,3.325500000000001,1,9
