molregno,canonical_smiles,ic50_nm,MolWt,LogP,NumHDonors,NumHAcceptors,Cluster
173548,COC(=O)[C@H](Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CNC(=O)[C@@H](CCC(N)=O)N=C(N)N,900000.0,506.56300000000033,-0.6895999999999962,5.0,6.0,2
174288,CC(C)C[C@@H](N=C(N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(O)c(Cl)c3Cl)nn2C)CC1,8100.0,538.4800000000001,2.609800000000001,4.0,6.0,1
71566,Nc1nc(O)c2nn(-c3cccc(C(=O)NC[C@H]4CCCC[C@@H]4O)c3)nc2n1,320.0,383.4120000000002,0.7791999999999999,4.0,9.0,2
1248327,O=C(O)[C@@H](NS(=O)(=O)c1ccccc1)c1ccccc1,11000.0,291.32800000000003,1.7908,2.0,3.0,0
123630,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0,283.287,2.3105600000000006,2.0,4.0,0
107682,O=C(O)/C=C/c1ccc(O)cc1,3000000.0,164.16,1.49,2.0,2.0,0
122953,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,215.16799999999998,1.73096,1.0,5.0,0
546973,CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,9.0,418.968,2.8417000000000012,2.0,6.0,2
52476,CN(c1ccccc1C(=O)O)S(=O)(=O)c1ccc2ccccc2c1,400000.0,341.38800000000003,3.363100000000002,1.0,3.0,2
146393,CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C,320.0,224.329,1.8783999999999998,0.0,4.0,0
146393,CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C,775.0,224.329,1.8783999999999998,0.0,4.0,0
146378,CC[C@@H]1COC[C@@H]1Cc1cncn1C,445.0,194.27800000000002,1.6352,0.0,3.0,0
146378,CC[C@@H]1COC[C@@H]1Cc1cncn1C,1800.0,194.27800000000002,1.6352,0.0,3.0,0
73681,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C,30.0,745.0590000000001,5.283000000000007,2.0,8.0,1
