molregno,canonical_smiles
19316,CCCN(CCC)CCc1cccc2c1CC(=O)N2
19344,CC1=CC(=O)c2ccccc2C1=O
19915,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
20130,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
20131,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
20496,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
21036,NCCS
21681,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
21938,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
22391,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
22393,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O
22873,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
23001,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1
23417,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2
24418,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O
24991,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
25047,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
26431,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
26443,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1
26451,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1
26465,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
27072,CN(C)CCC=C1c2ccccc2CCc2ccccc21
27104,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O
27105,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
27111,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
27112,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
27385,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21
27417,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
27419,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
27569,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
27575,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
27576,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
27588,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
27609,Clc1cccc(Cl)c1NC1=NCCN1
27610,CN1CCN2c3ncccc3Cc3ccccc3C2C1
27611,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
27616,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
27912,Cc1ncc([N+](=O)[O-])n1CCO
28112,CNCCCC1c2ccccc2C=Cc2ccccc21
28119,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
28477,C#CCN(C)Cc1ccccc1
28516,N=C(N)c1ccc(OCCCCCCOc2ccc(C(=N)N)cc2)cc1
29090,CCOC(=O)c1cncn1[C@H](C)c1ccccc1
29097,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
30072,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O
30096,CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12
31241,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
31289,Nc1ccncc1
32027,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
32459,CNCCc1ccccn1
32978,Oc1cccc(O)c1
33254,CCCCCCCCCCCCCCCCO
33307,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F
33466,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
33664,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
33667,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
33679,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
33727,O=C1c2ccccc2C(=O)C1c1ccccc1
34197,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
34608,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
35271,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
36633,CC(C)(C)NCC(O)COc1cccc2c1SCCC2
36662,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
37316,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
37980,O=C(NCCO[N+](=O)[O-])c1cccnc1
38569,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+]
38727,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
38833,CNC1(c2ccccc2Cl)CCCCC1=O
39624,C[n+]1ccccc1/C=N/O.[Cl-]
41434,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
41644,O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+]
42468,c1ccc2c(CC3=NCCN3)cccc2c1
42520,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
43448,c1ccc(CC2=NCCN2)cc1
43952,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
44010,NCC(=O)O
46073,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
46656,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
47340,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
47675,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
49226,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
50290,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1
51042,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
52087,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
52874,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
54051,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
54722,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
55033,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O
56402,N=C(N)NCc1cccc(I)c1
56752,N=C(N)N
57397,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1
58232,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O
59519,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
60371,CC1=NN(c2ccccc2)C(=O)C1
60401,NCCC(O)(P(=O)(O)O)P(=O)(O)O
60422,C1COC(NC(C2CC2)C2CC2)=N1
62111,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
62259,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
62701,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
63252,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
63949,CSCC[C@H](N)C(=O)O
63997,OB(O)O
65455,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
65494,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
65798,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
66016,CCC1(c2ccccc2)NC(=O)N(C)C1=O
66273,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
66311,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
67617,CC[C@@H](CO)NCCN[C@@H](CC)CO
68607,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
69448,C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1
70239,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
72505,COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1
74690,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
75901,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
76963,O=C(O)C(O)C(O)C(=O)O.Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
77207,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
77456,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
77459,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
77474,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
78303,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
80209,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
82047,CCCc1c2oc(C(=O)[O-])cc(=O)c2cc2c(=O)cc(C(=O)[O-])n(CC)c12.[Na+].[Na+]
82983,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
83000,NC(=O)NC(=O)Cc1ccccc1
83044,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)([O-])[O-].[Na+].[Na+]
84251,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1
85233,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O
85305,NC(=O)CC[C@H](N)C(=O)O
86284,CC(C)(C(=O)c1cccnc1)c1cccnc1
87771,CNCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O)C(C)C)C(C)C
88317,CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
88648,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O
241,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
246,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
573,CN1CCN2c3ccccc3Cc3ccccc3C2C1
605,CN(C)CCCN1c2ccccc2CCc2ccccc21
619,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
635,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
996,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
1114,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
1124,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
1125,CC(=O)Nc1nnc(S(N)(=O)=O)s1
1148,NCc1ccc(S(N)(=O)=O)cc1
1159,Nc1ccc(S(N)(=O)=O)cc1
1470,CN(CCCl)CCCl
1615,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
1616,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
1620,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
1785,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
1788,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1795,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
2166,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
2198,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
2203,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
2208,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
2326,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
2327,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
2431,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
2451,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
2465,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
2484,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
3599,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
3683,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
3965,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
4011,Nc1ccc(C(=O)NCC(=O)O)cc1
4730,NC(=O)NO
5080,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
5772,CN(C)/N=N/c1[nH]cnc1C(N)=O
5797,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
6243,CNCCCN1c2ccccc2CCc2ccccc21
6480,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+]
6723,CCN(CC)CC(=O)Nc1c(C)cccc1C
6772,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
7065,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
7714,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
8062,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
8209,COc1ccc2cccc(CCNC(C)=O)c2c1
8516,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
8531,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
9097,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
9277,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
9333,Nc1c2c(nc3ccccc13)CCCC2
9623,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1
10358,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
10389,COc1cc(NC(C)CCCN)c2ncccc2c1
11002,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
11005,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
11066,Nc1cc(-c2ccncc2)c[nH]c1=O
11674,CC(C)Cc1ccc(C(C)C(=O)O)cc1
11685,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
11968,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
12417,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
12428,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
12465,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
13329,Oc1ccc(O)cc1
13342,CC(=O)O
13590,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
13618,CCO
14263,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
14367,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
14406,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
15086,NC(=O)N1c2ccccc2C=Cc2ccccc21
15217,CCCC(CCC)C(=O)O
16088,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
16225,CN1Cc2c(N)cccc2C(c2ccccc2)C1
16391,CN(C)CCCN1c2ccccc2Sc2ccccc21
16415,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
16505,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
16506,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
16510,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1
16521,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl
16530,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
16580,c1ccc2c(CCC3CCNCC3)c[nH]c2c1
16581,CCN(CC)CCOC(=O)c1ccc(N)cc1
16584,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
16591,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
16592,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
16599,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
16654,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
16656,O=C(O)c1cccnc1
16959,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
16960,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
16971,ClC=C(Cl)Cl
16973,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
17347,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
19101,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
19469,C#CC(O)(/C=C/Cl)CC
19712,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21
19737,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
20346,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
20372,Cc1cccc(N2CC(CO)OC2=O)c1
21459,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
21845,CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl
22528,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
22956,NCCNCCNCCN
23093,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
23745,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
24806,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
26351,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2
26386,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12
26401,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
26820,Cc1cc(=O)n(-c2ccccc2)n1C
27229,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
27251,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
27278,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
27495,Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1
27546,CN1CCN(C(c2ccccc2)c2ccccc2)CC1
27624,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
27626,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
27629,CN(C)CCOC(c1ccccc1)c1ccccc1
27638,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1
27639,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
27647,NC12CC3CC(CC(C3)C1)C2
27648,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
28310,S=P(N1CC1)(N1CC1)N1CC1
28699,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]
28976,CNC[C@H](O)c1ccc(O)c(O)c1
29005,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1
29637,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1
29989,Cc1cccc(Nc2ccccc2C(=O)O)c1C
30180,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
31171,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
31196,COc1c2ccoc2cc2oc(=O)ccc12
31857,CN1C(=O)CC(C)(c2ccccc2)C1=O
32869,NCC(CC(=O)O)c1ccc(Cl)cc1
33055,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O
33060,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
33341,C[N+](C)(C)CCO.[Cl-]
33373,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
33809,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
33810,O=C1c2ccccc2C(=O)C1c1ccc(F)cc1
33986,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
34234,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
34266,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
35486,OCc1ccccc1
36842,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
36864,Nc1nc2[nH]cnc2c(=S)[nH]1
37493,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
37820,CC(=O)NO
38579,Cc1ccc(C(C)C)c(O)c1
38588,C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O.[Na+]
39540,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12
40940,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
43086,N=C(N)NCCN1CCCCCCC1
43354,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
43934,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12
44647,CC(C)NCC(O)c1cc(O)cc(O)c1
45838,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
46385,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21
46958,O=C(O)CCCCC1CCSS1
48849,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
49931,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
50440,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
51056,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
52523,CC12CC3CC(C)(C1)CC(N)(C3)C2
53616,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
53623,NC(=O)CN1CCCC1=O
53737,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C
54149,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-]
54211,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1
56090,CCCCNC(=N)NC(=N)N
56432,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
56480,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1
57175,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
57833,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
60319,Clc1ccccc1CN1CCc2sccc2C1
61181,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
61945,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N
62182,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
62615,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
63100,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
63649,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
65351,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1
65539,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
