"molregno","canonical_smiles","ic50_nm"
"73681","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C","290.0"
"73339","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCc1ccccc1)C(C)C","2.2"
"73339","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCc1ccccc1)C(C)C","83.0"
"159514","CCC[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1","3400.0"
"161060","O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccncc1","12000.0"
"160283","COc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1","7400.0"
"172126","CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)[C@@H](c2ccccc2)CC3[C@H]1C5","178.0"
"546939","CCCCCC1N=C(N)CC1C.Cl","360.0"
"546939","CCCCCC1N=C(N)CC1C.Cl","243000.0"
"546939","CCCCCC1N=C(N)CC1C.Cl","5370.0"
"551904","CC1CC(N)=NC1Cc1ccccc1.Cl","3000.0"
"551904","CC1CC(N)=NC1Cc1ccccc1.Cl","458000.0"
"551904","CC1CC(N)=NC1Cc1ccccc1.Cl","8290.0"
"284092","COC(=O)C1C(Cc2ccccc2)CC2CCC1N2C","885.0"
"284092","COC(=O)C1C(Cc2ccccc2)CC2CCC1N2C","1020.0"
"238902","COc1cc(/C=C/c2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC","1400.0"
"238902","COc1cc(/C=C/c2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC","12900.0"
"273905","COC(=O)CCc1c(-c2ccccc2)c(O)nc2cc(Cl)ccc12","500.0"
"109547","NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCCCC1","540.0"
"109547","NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCCCC1","120.0"
"163715","c1ccc(-c2cnc(Nc3ccccn3)o2)cc1","1880.0"
"182453","COCCNc1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1-c1nc2cc(-c3ccccc3)ccc2o1","2000.0"
"182453","COCCNc1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1-c1nc2cc(-c3ccccc3)ccc2o1","20000.0"
"252895","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc5[nH]ccc45)CC3)ccc2s1","860.0"
"120293","N.N.N.N.NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NCc1cc(Br)cc(C2(C(F)(F)F)N=N2)c1","1700.0"
"188095","O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21","4310.0"
"188095","O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21","3020.0"
"188095","O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21","690.0"
"188095","O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21","15100.0"
"272629","O=c1c2ccccc2nc2ccc(-c3nn[nH]n3)cn12","280000.0"
"273370","O=C(O)c1cccn2c(=O)c3ccccc3nc12","800000.0"
