"chembl_id","canonical_smiles","pchembl_value"
"CHEMBL143482","CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","5.60"
"CHEMBL143482","CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","6.48"
"CHEMBL143482","CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","4.54"
"CHEMBL143482","CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","5.54"
"CHEMBL358814","C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","4.82"
"CHEMBL358814","C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","6.05"
"CHEMBL358814","C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","4.32"
"CHEMBL358814","C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","5.40"
"CHEMBL90512","C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1","7.30"
"CHEMBL320290","NC(Cc1ccnn1O)C(=O)O","5.57"
"CHEMBL93376","O=C(CCCOCCCc1c[nH]cn1)c1ccc(F)cc1.O=C(O)C(=O)O","7.85"
"CHEMBL105780","CC(C)C[C@@H](N=C(N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(O)c(Cl)c3Cl)nn2C)CC1","5.09"
"CHEMBL46553","Nc1nc(O)c2nn(-c3cccc(C(=O)NC[C@H]4CCCC[C@@H]4O)c3)nc2n1","6.50"
"CHEMBL2369383","CC[C@H](C)[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C)C(N)=O","6.52"
"CHEMBL282710","Oc1cc2c3c(c1O)CC[C@H]3CNC[C@@H]2c1ccccc1","5.91"
"CHEMBL1907776","O=C(O)[C@@H](NS(=O)(=O)c1ccccc1)c1ccccc1","4.96"
"CHEMBL77085","N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]","4.02"
"CHEMBL77085","N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]","4.62"
"CHEMBL604202","Nc1nc(NC2CCCC2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1","8.08"
"CHEMBL604202","Nc1nc(NC2CCCC2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1","5.21"
"CHEMBL544127","CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl","8.05"
"CHEMBL367546","O=C(CCN1CCN(c2ccc(F)cc2)CC1)NC1c2ccccc2CSc2ccccc21","8.55"
"CHEMBL315191","CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C","5.30"
"CHEMBL315191","CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C","6.50"
"CHEMBL315191","CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C","6.11"
"CHEMBL92429","CC[C@@H]1COC[C@@H]1Cc1cncn1C","6.35"
"CHEMBL92429","CC[C@@H]1COC[C@@H]1Cc1cncn1C","5.75"
"CHEMBL47918","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C","7.52"
"CHEMBL47918","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C","6.54"
"CHEMBL50217","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCc1ccccc1)C(C)C","8.66"
"CHEMBL50217","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCc1ccccc1)C(C)C","7.08"
"CHEMBL38904","O=S1(=O)c2ccccc2CCC12CCN(Cc1ccccc1)CC2","7.70"
"CHEMBL38904","O=S1(=O)c2ccccc2CCC12CCN(Cc1ccccc1)CC2","5.75"
"CHEMBL99102","CCC[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1","5.47"
"CHEMBL97927","O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccncc1","4.92"
"CHEMBL318278","COc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1","5.13"
"CHEMBL321153","CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)[C@@H](c2ccccc2)CC3[C@H]1C5","6.75"
"CHEMBL542710","CCCCCC1N=C(N)CC1C.Cl","6.44"
"CHEMBL542710","CCCCCC1N=C(N)CC1C.Cl","5.27"
"CHEMBL552936","CC1CC(N)=NC1Cc1ccccc1.Cl","5.52"
"CHEMBL552936","CC1CC(N)=NC1Cc1ccccc1.Cl","5.08"
"CHEMBL339172","C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(CC)no3)ncn1-2","6.66"
"CHEMBL339172","C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(CC)no3)ncn1-2","6.82"
"CHEMBL339172","C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(CC)no3)ncn1-2","6.74"
"CHEMBL339172","C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(CC)no3)ncn1-2","7.90"
"CHEMBL339172","C#Cc1ccc2c(c1)C(=O)N1CC[C@H]1c1c(-c3nc(CC)no3)ncn1-2","6.44"
