"chembl_id","canonical_smiles","ic50"
"CHEMBL264194","CC(C)[C@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)NC(=O)OCCN1CCOCC1","4.7"
"CHEMBL50799","CCCCC(=O)N[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCC)O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(C)C","3.2"
"CHEMBL50799","CCCCC(=O)N[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCC)O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(C)C","5.3"
"CHEMBL417905","CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCN1CCOCC1)C(C)C","1.8"
"CHEMBL417905","CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCN1CCOCC1)C(C)C","9.5"
"CHEMBL542710","CCCCCC1N=C(N)CC1C.Cl","910"
"CHEMBL542710","CCCCCC1N=C(N)CC1C.Cl","1310"
"CHEMBL10435","O=c1oc(Nc2ccccc2I)nc2cc(F)ccc12","1700"
"CHEMBL10435","O=c1oc(Nc2ccccc2I)nc2cc(F)ccc12","2800"
"CHEMBL3142628","COc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1","36"
"CHEMBL119","COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC","42"
"CHEMBL119","COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC","3"
"CHEMBL119","COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC","10"
"CHEMBL164184","N#CCOc1c(-c2cccc(Oc3ccccc3)c2)c(O)nc2cc(Cl)ccc12","1200"
"CHEMBL431611","Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2","2.5"
"CHEMBL431611","Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2","31"
"CHEMBL431611","Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2","22"
"CHEMBL176830","O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2cccc(N3CCCC3)c2)cc1","5.3"
