"chembl_id","canonical_smiles","ic50_nm","standard_type"
"CHEMBL3443887","Cc1[nH]/c(=N\C(=O)c2csc(NC3CCCC3)n2)sc1C","3163.91","IC50"
"CHEMBL3443887","Cc1[nH]/c(=N\C(=O)c2csc(NC3CCCC3)n2)sc1C","4104.53","IC50"
"CHEMBL3443887","Cc1[nH]/c(=N\C(=O)c2csc(NC3CCCC3)n2)sc1C","18189.75","IC50"
"CHEMBL3443887","Cc1[nH]/c(=N\C(=O)c2csc(NC3CCCC3)n2)sc1C","50118.72","IC50"
"CHEMBL3443888","Cc1cs/c(=N/C(=O)c2csc(NCC(C)C)n2)[nH]1","28636.4","IC50"
"CHEMBL3443888","Cc1cs/c(=N/C(=O)c2csc(NCC(C)C)n2)[nH]1","46890.76","IC50"
"CHEMBL3497523","CCC(CO)NCc1ccc(-c2ccc(Br)cc2)o1.Cl","44318.65","IC50"
"CHEMBL3497523","CCC(CO)NCc1ccc(-c2ccc(Br)cc2)o1.Cl","27529.91","IC50"
"CHEMBL3497526","CCC(CO)NCc1ccc(-c2ccc(F)c(Cl)c2)o1.Cl","35373.83","IC50"
"CHEMBL3497526","CCC(CO)NCc1ccc(-c2ccc(F)c(Cl)c2)o1.Cl","13226.24","IC50"
"CHEMBL3443925","O=S(=O)(Cc1ccc(Br)cc1)NCCO","50118.72","IC50"
"CHEMBL3443925","O=S(=O)(Cc1ccc(Br)cc1)NCCO","50118.72","IC50"
"CHEMBL3439830","Cc1cc(CNC(=O)c2ccno2)c(C)o1","30199.52","IC50"
"CHEMBL3439830","Cc1cc(CNC(=O)c2ccno2)c(C)o1","30199.52","IC50"
"CHEMBL3439831","Cc1cc(C(=O)NCc2cc(C)oc2C)no1","100000","IC50"
"CHEMBL3439831","Cc1cc(C(=O)NCc2cc(C)oc2C)no1","100000","IC50"
"CHEMBL3439831","Cc1cc(C(=O)NCc2cc(C)oc2C)no1","30199.52","IC50"
"CHEMBL3439831","Cc1cc(C(=O)NCc2cc(C)oc2C)no1","30199.52","IC50"
"CHEMBL3439845","O=C(NCc1nc2ccccc2[nH]1)c1cc2n(n1)CCCO2","30199.52","IC50"
"CHEMBL3439845","O=C(NCc1nc2ccccc2[nH]1)c1cc2n(n1)CCCO2","30199.52","IC50"
"CHEMBL3439846","CCNC(=O)c1cc2n(n1)CCCO2","30199.52","IC50"
"CHEMBL3439846","CCNC(=O)c1cc2n(n1)CCCO2","30199.52","IC50"
"CHEMBL3439847","CCOC(=O)CNC(=O)c1cc2n(n1)CCCO2","30199.52","IC50"
